OBJECTID_1,OBJECTID,BUSSTOPNUM,ONSTREET,ATSTREET,DIRECTION,POSITION,STATUS,ACCESSIBLE,CITY_NAME,RuleID,Override,X,Y
259,259,59881,6th St,Agnes St,EB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.910108515053,49.2049685563163
264,264,60833,Queensborough Landing,Howes St,NB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.949105790842,49.1913479537005
265,265,60837,8th St,Carnarvon St,EB,MB,ACTIVE,YES,NEW WESTMINSTER,2,,-122.912106362751,49.2015291308548
266,266,60838,8th St,Columbia St,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.912022398377,49.2018042332245
267,267,60839,Alexander St,Columbia St,EB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.911347309979,49.2016188815735
268,268,60848,Alexander St,Carnarvon St*,EB,MB,ACTIVE,YES,NEW WESTMINSTER,2,,-122.911492983993,49.201735113648
269,269,60877,Carnarvon St,10th St,SB,NS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.915222239283,49.2007651320587
270,270,60878,8th St,Columbia St*,EB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.911866911125,49.201346226811
271,271,61067,Starlight Casino Driveway,Gifford St,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.954506325944,49.1861784641869
272,272,61419,Renaissance Sq,Quayside Dr,NB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.924573536808,49.1999878654647
