OBJECTID_1,OBJECTID,BUSSTOPNUM,ONSTREET,ATSTREET,DIRECTION,POSITION,STATUS,ACCESSIBLE,CITY_NAME,RuleID,Override,X,Y
142,142,58079,Brunette Ave,Braid St,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.883136869362,49.2328552210613
143,143,58082,Brunette Av,Braid St,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.883080014403,49.2330303730982
144,144,58083,Brunette Av,Braid St,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.883023546768,49.233210023121
145,145,58084,Brunette Av,Braid St,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.882677672078,49.2334061736949
146,146,58085,Brunette Av,Braid St,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.88255587422,49.2331448457508
147,147,58086,Brunette Av,Braid St,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.882512712617,49.2329547861112
148,148,59118,Ewen Ave,Mcgillivray Pl,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.940817972833,49.1885328769012
149,149,53107,E Columbia St,Braid St,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.892598370056,49.2318792086651
150,150,53100,E Columbia St,Braid St,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.892835368073,49.2310662845786
155,155,52165,7 Av,22 St,SB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.948608637193,49.200020364331
156,156,53497,7 Av,22 St,SB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.94885330611,49.1999414132095
157,157,52230,7 Av,22 St,SB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.949096497279,49.1998570637351
158,158,52373,7 Av,22 St,SB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.949357745789,49.1997924843493
159,159,55933,7 Av,22 St,SB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.949614519837,49.1997267330307
160,160,56919,7 Ave,22 St,SB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.949901492708,49.1996334596166
161,161,52183,7 Av,22 St,SB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.950166588113,49.1995223203717
162,162,55934,Highway 91a Onramp,Howes St,SB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.949396393606,49.1882815499098
163,163,58412,1 St,Agnes St,WB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.902039271933,49.2094651466366
164,164,58494,E Columbia St,Cumberland St*,NB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.892908643875,49.2201435545789
165,165,52320,Mcbride Blvd,Blackberry Dr,WB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.904135448031,49.2163981681365
166,166,53592,6th Ave,Mcbride Blvd,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.907863221302,49.2197777587032
167,167,52321,Mcbride Blvd,Fraser Mews,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.906217673266,49.2180072886516
168,168,52323,Cumberland St,E 8th Ave,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.908077768427,49.2238844866308
169,169,53580,E 8th Ave,Cumberland St,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.909083137035,49.2240639372846
170,170,52489,2nd St,6th Ave,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.913904713713,49.216232820467
171,171,52490,2 St,5 Av,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.91220969599,49.2148781147709
172,172,52491,2 St,4 Av,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.910300212788,49.2133649724867
173,173,52492,2 St,3 Av,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.908369595968,49.2118271883398
174,174,52324,Cumberland St,7 Av,EB,MB,ACTIVE,YES,NEW WESTMINSTER,2,,-122.90569669649,49.2219477659085
175,175,52325,Cumberland St,Beth St,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.903103360603,49.220780633038
176,176,52326,Cumberland St,Glenbrook Dr,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.899758538849,49.220505581924
177,177,52327,Richmond St,Seymour Crt,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.898503245293,49.2198036100275
178,178,52328,Richmond St,Miner St,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.896555060963,49.2181323316592
179,179,52334,Quayside Dr,Rialto Crt,EB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.926002994084,49.2003480085758
180,180,52335,Quayside Dr,Laguna Crt,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.922554325163,49.199891223951
181,181,52336,Quayside Dr,Reliance Crt,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.918138584498,49.1989590176326
182,182,52338,Quayside Dr,Inn At The Quay,EB, ,ACTIVE,YES,NEW WESTMINSTER,2,,-122.912944131591,49.2000908136138
183,183,52360,Ewen Ave,Wood St,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.939918652405,49.1891781237275
184,184,52361,Ewen Ave,Mcgillivray Pl,WB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.941615883825,49.1884672663439
185,185,52372,Howes St,Ewen Ave,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.947006238054,49.1867149858259
186,186,52375,Ewen Ave,Howes St,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.946052239115,49.1864711846296
187,187,52376,Ewen Ave,Lawrence St,EB,NS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.943925418759,49.1873631374471
188,188,52377,Ewen Ave,Wood St,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.938650397146,49.1895394556997
189,189,52354,Derwent Way,Ewen Av,NB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.933714393296,49.1920852639402
190,190,52355,Duncan St,Beach St,EB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.934892783597,49.1951651921561
191,191,52356,Duncan St,Ewen Av,SB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.92729365133,49.1946103073033
192,192,52357,Ewen Av,Stanley St,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.93262553969,49.1921841400876
193,193,52378,Ewen Ave,Johnston St,EB,NS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.934827984393,49.1911639676173
194,194,52358,Ewen Ave,Fenton St,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.936140130313,49.1907180020684
195,195,52299,6 St,10 Av *,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.927342677884,49.2186158992663
196,196,52300,6 St,600 *,EB,MB,ACTIVE,NO,NEW WESTMINSTER,1,,-122.925875293765,49.2174464626057
197,197,52301,6th Ave,8th Ave*,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.923563041453,49.2156164314387
198,198,52302,6th St,7th Ave,EB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.921903988038,49.2142974410443
199,199,52427,Agnes St,4 St *,NB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.907038958856,49.2063037901572
200,200,52428,Agnes St,Merrivale St *,NB,NS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.90533969457,49.2072194173623
201,201,52330,Columbia St,Elliot St,SB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.902274309831,49.206330054413
202,202,52434,Agnes St,St Marys St *,SB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.904565313435,49.2077960530904
203,203,52438,6th St,Royal Ave*,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.911234671178,49.2060625266558
204,204,52439,6 St,Queens Av *,WB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.912877619813,49.2073528212295
205,205,52440,6 St,3 Av *,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.914839068602,49.2089051803112
206,206,52441,6 St,4 Av *,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.91680013477,49.210455967173
207,207,52442,6th St,5th Ave,WB,FS,ACTIVE,YES,NEW WESTMINSTER,2,,-122.918744985232,49.2120146697216
208,208,52431,4th St,Columbia St,WB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.905602880553,49.2049397661039
209,209,52243,6 St,7 Av *,WB,FS,ACTIVE,NO,NEW WESTMINSTER,1,,-122.922122278257,49.2146935157508
