OBJECTID,X,Y
5,-122.93360790658,49.1916105199033
6,-122.933739929228,49.1917711171543
7,-122.933489996309,49.1919291561461
8,-122.933368291916,49.1917504390031
19,-122.911844548535,49.2053702030314
20,-122.911765532462,49.2054136799324
46,-122.906152085164,49.2230427081941
68,-122.890089253056,49.2297229963211
70,-122.890271840029,49.2297295592307
83,-122.915922799638,49.2178071358575
91,-122.923861393437,49.2089749191912
92,-122.923752501599,49.2088896439709
93,-122.923528192531,49.2084829058399
97,-122.922910362384,49.2082094997509
99,-122.922945674216,49.2080362218212
107,-122.918371639389,49.2027613362427
108,-122.918010397523,49.2024667100718
115,-122.928759584745,49.2063442746537
228,-122.8989909901,49.2293880139909
260,-122.915831072856,49.2252135917046
261,-122.907398375582,49.2027786192349
267,-122.910889595082,49.2023491169665
268,-122.910811288608,49.2022773189994
269,-122.907102546788,49.2042456850415
270,-122.906965121426,49.2043259690106
276,-122.911310355103,49.2026931602576
287,-122.911509974815,49.2202089189334
289,-122.911402075039,49.2201091245212
305,-122.907079456747,49.2134520492033
306,-122.907137252304,49.213498094865
351,-122.915280338917,49.205839478924
352,-122.915461620055,49.2057506374779
372,-122.93564432533,49.2140367756474
373,-122.929348211074,49.2083554124607
374,-122.923625528731,49.2038125699989
409,-122.943529236672,49.2040577461857
457,-122.892116441543,49.2316870437165
458,-122.892009449569,49.2316826260257
506,-122.895635799187,49.2309792017699
507,-122.89570867557,49.2309422071265
515,-122.893390583884,49.2302129144783
522,-122.892891804269,49.2294095362864
523,-122.89289204403,49.2292986249577
543,-122.908523839152,49.2280579102458
567,-122.89294690296,49.2265391993292
569,-122.892982673954,49.2263834344987
581,-122.91571702248,49.2252689454678
587,-122.905567843337,49.2244969467795
598,-122.899389332034,49.2236667747694
608,-122.914802883331,49.223993825572
609,-122.914614657492,49.2239577055272
617,-122.895747760413,49.2227461181875
626,-122.915627389644,49.2225775860294
630,-122.916103310311,49.2231076640483
693,-122.902217917948,49.2206606455755
698,-122.903741029964,49.2206516702268
719,-122.896565094521,49.2194242691703
733,-122.918049944081,49.2198300153061
765,-122.894024949051,49.2164382331782
766,-122.89405830985,49.2166341809701
776,-122.914032843202,49.2166281054891
846,-122.926795667784,49.2143972540324
860,-122.915319504682,49.2134060466415
864,-122.915428884526,49.2133571024798
869,-122.920154774032,49.2131475475188
876,-122.930964842094,49.2127911945414
877,-122.931029994337,49.2128398979491
891,-122.906015596467,49.2126028584927
902,-122.912909665159,49.212135469927
909,-122.919604880878,49.2124588469294
961,-122.920916303489,49.2117521830792
1008,-122.934160660156,49.2103844825587
1009,-122.934136881347,49.2106108803938
1012,-122.93701509418,49.2108197371182
1023,-122.904461715518,49.2097543952954
1024,-122.90807509463,49.2095320854043
1026,-122.909233294238,49.2096243035257
1027,-122.909292940127,49.2096669880541
1047,-122.926445200615,49.209157727114
1063,-122.937561372963,49.2092138350129
1073,-122.905545948905,49.2088174380053
1083,-122.914180995043,49.2083858358614
1084,-122.914106278247,49.208323532906
1100,-122.923918850697,49.2088017059566
1122,-122.903744179466,49.208068711687
1139,-122.912277623904,49.2072654815763
1140,-122.912218389106,49.2073009679836
1141,-122.913203307631,49.2076149284016
1142,-122.913121728854,49.2075525296911
1143,-122.913449834033,49.2075638402202
1144,-122.913340833727,49.2074803721276
1145,-122.913692067149,49.2080071295858
1146,-122.913597032527,49.2079447211603
1147,-122.914148666726,49.2081058783559
1148,-122.91408517264,49.2080641829436
1161,-122.924318084011,49.2074500361573
1162,-122.924754932731,49.2078182290238
1163,-122.924701605348,49.2077662014832
1164,-122.926408917296,49.2076103340067
1165,-122.926508137368,49.2075455411201
1166,-122.926910984223,49.2073349470716
1184,-122.906562206076,49.2065562182381
1185,-122.907925954456,49.2065942840461
1186,-122.906729190438,49.2064608231677
1193,-122.91191386026,49.2066163741868
1194,-122.911830246542,49.2065420992119
1203,-122.927034933262,49.2072579357762
1219,-122.903645054622,49.2062317000677
1222,-122.905758111344,49.2056887783008
1223,-122.905525829445,49.2057580322318
1229,-122.911342588266,49.2061645532203
1230,-122.911434690878,49.206250888758
1246,-122.922358201529,49.2059107200072
1247,-122.921876100769,49.2055314231361
1248,-122.922261825928,49.2058235807257
1251,-122.933621229356,49.20606563883
1255,-122.905132583161,49.2054304610384
1256,-122.90504691321,49.2053609469537
