OBJECTID,Catchment,Comments,DATALOAD,Diameter,Estim_Year,Install_Year,Invert_DN,Invert_UP,Manhole_Down,Manhole_Up,Material,Pipe_Bursted,RefAuto,Relined,Sewer_ID,Sewer_Type,Slope,Total_Length,Original_Material,Original_Diameter,Original_Install_Year,SHAPE.len,_SEWERNAME
5423705,8,Invert and slope updated; 4097-01-U-30 (1463.tif; 1411.tif),20170309201124,150,0,1973,27.17901611,34.16503143,8074,8078,PVC,No,10647,No,80788074,SAN,0.13600001,64,PVC,150,1973,64.0052825944859,SANITARY
5423706,8,Invert and slope updated; 4097-01-U-30 (1463.tif; 1411.tif),20170309201124,200,0,1973,22.04923248,26.79801559,8076,8074,PVC,No,10646,No,80748076,SAN,0.106,44.63999939,PVC,200,1973,44.6440197562899,SANITARY
5423707,8,Invert and slope updated; 4097-01-U-5 (1438.tif; 1424.tif),20170309201124,200,0,1973,22.7959919,32.47644043,8076,8072,PVC,No,10645,No,80728076,SAN,0.0983,98.75,PVC,200,1973,98.7498663290234,SANITARY
5423708,8,Invert and slope updated; 4097-01-U-31 (1464.tif; 1412.tif),20170309201124,200,0,1973,27.9166317,30.35503197,8268,8010,PVC,No,10644,No,80108268,SAN,0.025,97.83999634,PVC,200,1973,83.9425452318429,SANITARY
5423709,8,Invert and slope updated; 4097-01-U-6 (1439.tif; 1425.tif),20170309201124,200,0,1973,36.29863358,46.37227249,8069,8092,PVC,No,10643,No,80928069,SAN,0.114,88.37999725,PVC,200,1973,88.3851141312834,SANITARY
5423710,8,Invert and slope updated; 4097-01-U-5 (1438.tif; 1424.tif),20170309201124,200,0,1973,36.00602341,40.48048782,8069,8067,PVC,No,10642,No,80678069,SAN,0.0565,79.23999786,PVC,200,1973,79.2418304937487,SANITARY
5423711,8,Invert and slope updated; 4097-01-U-5 (1438.tif; 1424.tif),20170309201124,200,0,1973,40.54144669,43.32427216,8067,8065,PVC,No,10641,No,80658067,SAN,0.0365,76.19999695,PVC,200,1973,76.2022368438092,SANITARY
5423712,8,Invert and slope updated; 4097-01-U-31 (1464.tif; 1412.tif),20170309201124,200,0,1973,33.39998245,35.51834488,8014,8016,PVC,No,10640,No,80168014,SAN,0.028,79.55000305,PVC,200,1973,79.5478748930479,SANITARY
5423713,8,Invert and slope updated; 4097-01-U-31 (1464.tif; 1412.tif),20170309201124,200,0,1973,30.5683918,32.68675232,8010,8014,PVC,No,10639,No,80148010,SAN,0.025,80.98000336,PVC,200,1973,80.9818596970951,SANITARY
5423714,8,Invert and slope updated; 4097-01-U-6 (1439.tif; 1425.tif),20170309201124,200,0,1973,31.32734489,35.95725632,8010,8069,PVC,No,10638,No,80698010,SAN,0.0868,53.34000015,PVC,200,1973,53.33448602921,SANITARY
5423715,9,,20170309201124,100,0,1992,0,0,1111,9124,PVC,No,10637,No,91241111,FRC,0,58.56999969,PVC,100,1992,58.4158563106791,FORCE
5423716,9,,20170309201124,200,0,1994,0,0,1111,9130,PVC,No,10636,No,91301111,SAN,0,15.78999996,PVC,200,1994,14.7729571733122,SANITARY
