OBJECTID,X,Y
211818,-122.904826553368,49.2036699617046
211819,-122.904527323607,49.23075475991
211820,-122.944413657418,49.1872619044133
211821,-122.937711427102,49.21341154121
211822,-122.935561662524,49.211578769096
211823,-122.935601653187,49.2115638853101
211824,-122.933539629633,49.2100916514066
211825,-122.930516996092,49.207724248093
211826,-122.906271122579,49.2094519790376
211827,-122.888807176654,49.2316212053055
211828,-122.88880881359,49.2315730183937
211829,-122.894216035694,49.2357010480568
211830,-122.910800017972,49.2099499418587
211831,-122.898721129224,49.2204646795351
211832,-122.895821676245,49.2205108598852
211833,-122.896143577137,49.2204759710331
211834,-122.950483615829,49.1995231106776
211835,-122.950493253176,49.1995068845809
211836,-122.948005322508,49.1857351869406
211837,-122.933258144225,49.1918953835123
211838,-122.931301978052,49.204145747049
211839,-122.930388876367,49.2036301115954
211840,-122.924874846549,49.2031997903028
211841,-122.920280388131,49.2011199789426
211842,-122.91978287181,49.2007461243149
211843,-122.901536178927,49.2158477005236
211844,-122.896244764689,49.2284944205611
211845,-122.893670512104,49.2285019862555
211846,-122.892937674515,49.2256112716488
211847,-122.89292445629,49.2265064456589
211848,-122.895642834273,49.2302880952958
211849,-122.908433991881,49.2069868269659
211850,-122.938052795877,49.1899160829068
211851,-122.913105488442,49.2235007035825
211852,-122.915441687128,49.2249569890419
211853,-122.908996873501,49.224531211254
211854,-122.912823869203,49.2248920429969
211855,-122.911965607953,49.2240900838794
211856,-122.892563145326,49.2340089552169
211857,-122.934324747673,49.1875539718657
211858,-122.928771856451,49.2063350062743
211859,-122.928838771448,49.2062988252675
211860,-122.912731884162,49.2071324668513
211861,-122.912692168744,49.2071006582649
211862,-122.915681566755,49.2094961458026
211863,-122.916686482721,49.2102575499384
211864,-122.918703550214,49.2117113644986
211865,-122.920000905367,49.2109670116945
211866,-122.920177616042,49.2109031702562
211867,-122.920170018654,49.2111013599703
211868,-122.920897859237,49.2116818821832
211869,-122.920926406516,49.2117046364156
211870,-122.907554590125,49.2236022689746
211871,-122.905684863766,49.2245443286994
211872,-122.903316594654,49.2251161059921
211873,-122.911798513209,49.226935845039
211874,-122.938525910471,49.2014314129533
211875,-122.876998619113,49.2288999688913
211876,-122.915537654791,49.2002055898748
211877,-122.953059512572,49.1801371135782
211878,-122.954577883899,49.179526123393
211879,-122.927529518075,49.2189441426774
211880,-122.927563565133,49.218925783988
211881,-122.923899511517,49.2160014050996
211882,-122.923862634044,49.2160231106947
211883,-122.923866971909,49.2160006883224
211884,-122.931408038576,49.2168947792221
211885,-122.931442666228,49.2168765330685
211886,-122.929111709559,49.2151286332786
211887,-122.92903403177,49.2150666647688
211888,-122.928611501735,49.2147417890056
211889,-122.951482704684,49.205437238199
211890,-122.917171477719,49.2217437220769
211891,-122.91715539494,49.2216172352388
211892,-122.917209233602,49.2216608541258
211893,-122.91718135044,49.2216393147521
211894,-122.91717288676,49.2216902893806
211895,-122.917135947189,49.2216832375817
211896,-122.900659763124,49.2333876842217
211897,-122.910471203294,49.2134344228014
211898,-122.911495033513,49.2128805562861
