BLOCK,YEAR,NGBRHOOD,NUMBLDGS_HA,RESUNIT_HA,FLRSPCE_HA,TTLSPCES_HA
W-096,1919,3,9.10549998690144,9.10549998690144,0.148526204977818,2.02344444153365
Q-024,1909,1,,,,
U-097,1916,6,0.293659087145112,0.293659087145112,0.00381945342422592,
S-041,1888,8,,,,
C-008,1877,D,,,,
W-009,1898,B,,,,
S-055,1913,9,2.29362279475584,1.9113523289632,0.025829385353654,
U-007,1923,4,9.91397762984275,9.91397762984275,0.193589539063206,2.05116778548471
W-080,1882,3,,,,
W-092,1902,3,,,,
U-102,1894,6,,,,
W-068,1926,3,,,,
U-003,1917,4,8.21696549027813,8.21696549027813,0.185951915660741,
C-001,1912,B,1.35804287245597,,0.137158141657315,
S-079,1929,9,11.791179449352,11.791179449352,0.184886113784496,11.791179449352
U-007,1895,4,4.65966861821744,4.65966861821744,0.0735708780588214,
U-080,1906,7,4.94210975720037,4.94210975720037,0.132869605142332,
U-088,1934,6,12.7399396423714,12.7399396423714,0.215661947669116,12.7399396423714
W-037,1935,3,4.47697001534622,4.47697001534622,0.0345751633986928,3.83740287029676
C-006,1921,5,8.46339521247777,8.46339521247777,0.11973842036898,
W-052,1914,3,,,,
W-100,1901,5,3.08881859825023,3.08881859825023,0.0344974364860728,
C-004,1920,D,,,,
C-008,1910,D,6.24649128757459,4.37254390130221,0.702613949065612,
U-063,1903,7,5.23283628738573,4.57873175146251,0.12295852500635,
U-053,1939,6,9.49696876714516,9.20918183480743,0.188012119871743,8.34582103779423
C-034,1922,D,8.72563441172359,7.80714657891058,0.323051888621584,1.37773174921951
U-077,1886,7,,,,
S-030,1884,8,,,,
S-037,1927,8,3.46508101064802,3.15007364604365,0.131619918549292,2.52005891683492
Q-041,1933,A,,,,
U-038,1890,C,,,,
U-079,1920,7,10.961825711735,10.2310373309527,0.203765558982285,1.0961825711735
W-006,1878,2,,,,
U-086,1924,6,1.54440196865479,1.54440196865479,0.0198432253737913,
W-092,1908,3,,,,
S-001,1884,8,,,,
C-017,1862,D,0.883537956545586,0.883537956545586,0.0345488722404202,
U-050,1865,C,,,,
W-046,1939,3,7.81080565074772,7.81080565074772,0.0828689190758156,7.81080565074772
U-031,1910,5,10.3877524642809,10.3877524642809,0.175114965060005,
W-023,1886,2,,,,
S-025,1930,8,,,,
U-063,1937,7,11.7738075028343,11.1197070860101,0.314516373574013,11.1197070860101
S-081,1916,F,8.66430203380379,8.66430203380379,0.164500009166035,0.456015896515989
W-021,1899,2,,,,
S-047,1930,9,2.7429076426704,2.7429076426704,0.0399649520253524,2.13337261096587
S-088,1903,9,,,,
S-007,1914,E,0.37284455243325,,0.0742295480514718,
W-006,1910,2,,,,
W-085,1927,3,2.6475587985002,2.6475587985002,0.00881378722287813,2.6475587985002
W-009,1863,2,,,,
U-066,1899,7,10.245837301513,11.4512299252204,0.265190709758337,
Q-020,1859,1,,,,
W-073,1934,3,3.12514545474358,3.12514545474358,0.0951574234766647,2.34385909105769
S-027,1876,8,,,,
S-054,1906,9,,,,
U-027,1898,4,,,,
W-074,1862,3,,,,
S-068,1933,9,1.13612965693157,1.13612965693157,0.0166135469437196,1.13612965693157
U-079,1877,7,,,,
W-059,1926,3,2.47105487860019,2.47105487860019,0.0411386593204775,0.823684959533396
W-042,1920,3,,,,
W-112,1909,B,1.71857200802845,1.71857200802845,0.0298245805149167,
U-030,1890,5,,,,
S-073,1908,9,,,,
W-019,1937,2,,,,
S-019,1871,8,,,,
W-045,1936,B,1.86934790150755,1.40201092613066,0.0390232059126669,1.40201092613066
W-087,1890,3,,,,
W-110,1894,5,3.42806565250434,3.91778931714782,0.0665163181151373,
U-078,1875,7,,,,
Q-040,1930,A,6.09115013595014,10.3081002300695,0.0692905790411865,0.937100020915407
U-100,1907,6,,,,
U-065,1890,7,5.05460447982684,5.05460447982684,0.130628924053927,
U-082,1881,7,,,,
Q-024,1900,1,,,,
W-014,1899,2,,,,
W-054,1865,3,,,,
