FTYPE,NAME,ADDRESS,CONSTR_YR,UNITS,X,Y
MULTIPLE DWELLING,MURANO LOFTS,10 RENAISSANCE SQ,2017,146,-122.92533199561,49.2000094072812
MULTIPLE DWELLING,MURANO LOFTS,7 RIALTO CRT,2017,231,-122.926218668461,49.2002160729936
MULTIPLE DWELLING,QUANTUM,39 SIXTH ST,2017,90,-122.908199366923,49.203955461523
MULTIPLE DWELLING,ROYAL TOWERS,140 SIXTH ST,2017,135,-122.911919814329,49.2058566765819
MULTIPLE DWELLING,THE POINT,610 VICTORIA ST,2017,131,-122.909561282121,49.2040493557077
MULTIPLE DWELLING,BUCHANAN MEMORIAL SUNSET LODGE,409 BLAIR AVE,2018,110,-122.897967796604,49.2287580744675
MULTIPLE DWELLING,DUNWOOD PLACE,909 COLBORNE ST,2020,193,-122.916288990621,49.22357873342
MULTIPLE DWELLING,SAN MARINO,415 E COLUMBIA ST,2018,102,-122.893281103277,49.2287507913886
MULTIPLE DWELLING,PARCEL A - TOWER 1,11 E ROYAL AVE,2018,179,-122.898950044573,49.2126171607743
MULTIPLE DWELLING,CEDAR GROVE APARTMENT,520 EIGHTH ST,2019,56,-122.923452782532,49.2102794842083
MULTIPLE DWELLING,HOLLAND HOUSE,525 EIGHTH ST,2019,80,-122.922825618112,49.2107342968211
MULTIPLE DWELLING,DEVONSHIRE HOUSE,621 EIGHTH ST,2018,84,-122.924742962723,49.2122484179934
MULTIPLE DWELLING,YORK HOUSE,711 FIFTH AVE,2019,124,-122.9207372738,49.2109266915285
MULTIPLE DWELLING,THE WHITAKER,225 FRANCIS WAY,2018,72,-122.897049230079,49.2147646292086
MULTIPLE DWELLING,THE GROVE,250 FRANCIS WAY,2018,54,-122.899435584514,49.215030912072
MULTIPLE DWELLING,FRASER MEWS,340 GINGER DR,2019,159,-122.904093918829,49.2170700540079
MULTIPLE DWELLING,THE UPTOWNER,615 HAMILTON ST,2019,110,-122.923630853417,49.2152662180649
MULTIPLE DWELLING,STERLING PLACE,719 PRINCESS ST,2018,129,-122.922779714616,49.213222925274
MULTIPLE DWELLING,7-2-8 PRINCESS,728 PRINCESS ST,2018,67,-122.922798694242,49.2126993368616
MULTIPLE DWELLING,BERKLEY PLACE,739 PRINCESS ST,2018,129,-122.923720526812,49.2127138173244
MULTIPLE DWELLING,THE REGENCY,706 QUEENS AVE,2018,112,-122.914219137406,49.2058369865795
MULTIPLE DWELLING,ASHDOWN COURT APARTMENT,720 QUEENS AVE,2018,113,-122.914749827014,49.2053772745912
MULTIPLE DWELLING,THE CARLYLE,280 ROSS DR,2019,194,-122.901985678304,49.2151830436982
MULTIPLE DWELLING,ROYAL CITY APARTMENT,225 ROYAL AVE,2017,64,-122.906781092344,49.2083411593408
MULTIPLE DWELLING,THE PEPPERTREE,320 ROYAL AVE,2017,113,-122.907186309389,49.2072704818135
MULTIPLE DWELLING,THE DOMINION,500 ROYAL AVE,2018,118,-122.908991566141,49.2062738085385
MULTIPLE DWELLING,DOCKYARDS - BUILDING 2,202 SALTER ST,2019,97,-122.922764328425,49.1955416581808
MULTIPLE DWELLING,EDGEWATER TOWERS,615 SEVENTH AVE,2018,80,-122.923304993612,49.2141871782792
MULTIPLE DWELLING,HERITAGE HOUSE,710 SEVENTH AVE,2018,76,-122.923578833494,49.2133008071786
MULTIPLE DWELLING,HYACK HOUSE,711 SEVENTH AVE,2018,107,-122.924795867261,49.2132956555749
MULTIPLE DWELLING,GROVESNOR HOUSE,720 SEVENTH AVE,2018,89,-122.924551470076,49.2127540448668
MULTIPLE DWELLING,LEGION MANOR,505 SIXTH AVE,2018,129,-122.919917707388,49.2138992784494
MULTIPLE DWELLING,PARKVIEW TOWER NORTH,820 SIXTH AVE,2018,113,-122.924592186721,49.2105061647261
MULTIPLE DWELLING,THE WOODWARD,612 SIXTH ST,2018,118,-122.921244358947,49.213507489812
MULTIPLE DWELLING,THE RESIDENCES BY THE RIVER,83 STAR CRES,2019,70,-122.924942393104,49.1961380970786
MULTIPLE DWELLING,KINGS GATE,519 TWELFTH ST,2018,114,-122.929776668431,49.2075980866647
MULTIPLE DWELLING,NEWS,813 AGNES ST,2019,224,-122.9147152159,49.2025172388469
MULTIPLE DWELLING,THE HYACK,838 AGNES ST,2019,99,-122.915203823699,49.2016165266483
MULTIPLE DWELLING,THE BELMONT TOWERS,615 BELMONT ST,2019,139,-122.920492597208,49.2122158204711
MULTIPLE DWELLING,ROSS TOWER,45 CLUTE ST,2020,101,-122.915592412295,49.2229413381487
MULTIPLE DWELLING,THE DONCASTER,620 EIGHTH AVE,2019,54,-122.924763058755,49.21516512999
MULTIPLE DWELLING,THE THORNEBRIDGE,649 EIGHTH AVE,2019,144,-122.925679269643,49.2159213743195
MULTIPLE DWELLING,KENNEDY PLACE,310 EIGHTH ST,2019,51,-122.919466999951,49.2070269400296
MULTIPLE DWELLING,ELMWOOD APARTMENT,211 ELEVENTH ST,2019,97,-122.921881110979,49.2029278616889
MULTIPLE DWELLING,QUEEN'S COVE,220 ELEVENTH ST,2019,74,-122.923188353123,49.2031429398962
MULTIPLE DWELLING,WEST COAST APARTMENT,520 ELEVENTH ST,2018,51,-122.928893959792,49.2076064717689
MULTIPLE DWELLING,CHELSEA PLACE,525 ELEVENTH ST,2018,73,-122.928502601561,49.2082059930721
MULTIPLE DWELLING,THE CARM-ELLE APARTMENT,815 FIFTH AVE,2019,60,-122.92342740105,49.2096557349569
MULTIPLE DWELLING,SAN MATEO APARTMENT,814 FOURTH AVE,2019,54,-122.921242723265,49.2073708860199
MULTIPLE DWELLING,EDGEWATER HAMILTON,610 HAMILTON ST,2019,89,-122.923429793878,49.2146201113409
MULTIPLE DWELLING,NO NAME 1,700 HAMILTON ST,2019,99,-122.924149710036,49.2142175167344
MULTIPLE DWELLING,GENERATIONS,720 HAMILTON ST,2019,84,-122.925120045386,49.2137521033468
MULTIPLE DWELLING,THE STATESMAN,740 HAMILTON ST,2019,88,-122.92592116194,49.2132951926546
MULTIPLE DWELLING,PRINCETON PLACE (FORMERLYCHILCOTIN COURT,1021 HOWAY ST,2018,108,-122.927294975625,49.2080743388697
MULTIPLE DWELLING,PALACE QUAY,71 JAMIESON CRT,2019,220,-122.895941425296,49.2149835487079
MULTIPLE DWELLING,ROYAL CITY MANOR,77 JAMIESON CRT,2019,166,-122.895210432418,49.215339889019
MULTIPLE DWELLING,WESLEY MANOR,815 KENNEDY ST,2019,62,-122.920600073117,49.2071848047832
MULTIPLE DWELLING,VILLA MARGARITA,320 NINTH ST,2019,56,-122.921386831795,49.2063972544382
MULTIPLE DWELLING,AMARA TERRACE,1026 QUEENS AVE,2019,97,-122.920018359962,49.2025910054592
MULTIPLE DWELLING,FRASERVIEW PARK 7,68 RICHMOND ST,2019,51,-122.895836846996,49.2180707981103
MULTIPLE DWELLING,NEWS NORTH,814 ROYAL AVE,2019,123,-122.915288785402,49.2029089349133
MULTIPLE DWELLING,THE ROYALTON,850 ROYAL AVE,2019,75,-122.916717706687,49.2020246097778
MULTIPLE DWELLING,SHERBROOKE MANOR,329 SHERBROOKE ST,2018,60,-122.894899487266,49.2281691744475
MULTIPLE DWELLING,TANTUS TOWERS,810 ST. ANDREWS ST,2019,117,-122.921911585455,49.2082754497697
MULTIPLE DWELLING,PLAZA POINTE,98 TENTH ST,2019,72,-122.917513727034,49.2016681790604
MULTIPLE DWELLING,ROYAL VISTA,121 TENTH ST,2019,108,-122.918036465769,49.2030750897217
MULTIPLE DWELLING,CASA BERNELLO,330 ASH ST,2019,60,-122.918976030079,49.2083157903098
MULTIPLE DWELLING,NASSAU HOUSE,511 ASH ST,2019,69,-122.921527139567,49.2110878812729
MULTIPLE DWELLING,WESTWOOD TOWERS,527 ASH ST,2019,58,-122.921935346025,49.2113916084803
MULTIPLE DWELLING,RIVER VALLEY,1310 CARIBOO ST,2018,60,-122.930325854515,49.2043586135706
MULTIPLE DWELLING,ROTARY TOWER,25 CLUTE ST,2020,101,-122.914577880429,49.223377560927
MULTIPLE DWELLING,KIWANIS INTERMEDIATE CARE CENTRE,35 CLUTE ST,2020,74,-122.915112234101,49.2232565744864
MULTIPLE DWELLING,EIGHTH AVENUE WEST BUILDING A+B,55 EIGHTH AVE,2020,73,-122.914668569423,49.2213555767783
MULTIPLE DWELLING,THE DIPLOMAT,707 EIGHTH ST,2018,54,-122.925486584566,49.2129867023275
MULTIPLE DWELLING,MON TRU MANOR,420 ELEVENTH ST,2018,59,-122.926699103551,49.2058736433297
MULTIPLE DWELLING,ROBYN APARTMENT,700 FOURTH AVE,2019,56,-122.91839853534,49.2089287906646
MULTIPLE DWELLING,MASSEY PLACE,855 MCBRIDE BLVD,2020,53,-122.913006034612,49.2245787645636
MULTIPLE DWELLING,700 PARK,700 PARK CRES,2020,89,-122.912370647485,49.2201757546165
MULTIPLE DWELLING,ROYAL CLINTON,55 ROYAL AVE,2018,59,-122.902364752554,49.2105411122128
MULTIPLE DWELLING,HARBOUR VIEW APARTMENTS,550 ROYAL AVE,2018,54,-122.909930665906,49.2057491258439
MULTIPLE DWELLING,THE BROCKTON,808 SANGSTER PL,2020,67,-122.911263925158,49.2234136182965
MULTIPLE DWELLING,CHARTERHOUSE,620 SEVENTH AVE,2018,72,-122.922687991919,49.2138000156891
MULTIPLE DWELLING,EDGEWATER PLAZA,707 SEVENTH AVE,2018,94,-122.924077657153,49.2137592874867
MULTIPLE DWELLING,EL PRESIDENTE,220 SEVENTH ST,2018,63,-122.915416126695,49.2068289052433
MULTIPLE DWELLING,WESTCOURT MANOR,322 SEVENTH ST,2019,53,-122.917679685926,49.2086855201765
MULTIPLE DWELLING,TRIDECCA,258 SIXTH ST,2018,64,-122.91473648525,49.2083396993027
MULTIPLE DWELLING,EDGEWATER CENTRE,633 SIXTH ST,2018,72,-122.921414595853,49.2144027263325
MULTIPLE DWELLING,THE WESTERLY,15 SMOKEY SMITH PL,2020,52,-122.910245309127,49.2200598828036
MULTIPLE DWELLING,CROFTON PLACE,18 SMOKEY SMITH PL,2020,54,-122.909744770206,49.2195811115413
MULTIPLE DWELLING,FRASERVIEW APARTMENTS,514 THIRTEENTH ST,2018,51,-122.931267031828,49.2055373004428
MULTIPLE DWELLING,SAPPERTON TERRACE COOPERATIVE,318 WARD ST,2018,51,-122.894126741545,49.229141261273
MULTIPLE DWELLING,MANDALAY TERRACE,325 WARD ST,2018,56,-122.894547875547,49.22961400644
MULTIPLE DWELLING,232 ROSS DRIVE,232 ROSS DR,2018,59,-122.898839675014,49.213295366229
MULTIPLE DWELLING,MASSEY PLACE,841 MCBRIDE BLVD,2020,66,-122.912527112149,49.224164283313
MULTIPLE DWELLING,COPPERSTONE,240 SHERBROOKE ST,2018,231,-122.889623941282,49.2273817104916
MULTIPLE DWELLING,THE ANVIL,200 KEARY ST,2018,100,-122.890021001496,49.2253114872624
MULTIPLE DWELLING,PARKVIEW TOWER SOUTH,820 SIXTH AVE,2018, ,-122.924625683549,49.2099778240395
