OBJECTID,BEND_ID,X,Y
441212,,-122.906777045917,49.2023669891992
441213,,-122.905817496588,49.2033722676593
441214,,-122.905756110875,49.2033765749119
441215,,-122.905514384462,49.2031833113033
441216,,-122.949800459933,49.1991019695462
441217,,-122.949746792782,49.1992100931638
441218,,-122.949895997059,49.1990675814986
441219,,-122.950417203436,49.1994769344756
441220,,-122.95045847304,49.1994784472042
441221,,-122.930346908983,49.2036327219176
441222,,-122.928186266848,49.2083047792227
441223,,-122.926885062731,49.2073431487658
441224,,-122.926882300678,49.2073811692206
441225,,-122.918519703559,49.2053677357976
441226,,-122.918495211226,49.2053815505844
441227,,-122.919512705842,49.206128972565
441228,,-122.919566393552,49.206133002975
441229,,-122.919445488014,49.2061658226071
441230,,-122.919441560154,49.206201365675
441231,,-122.930286627528,49.20366528811
441232,,-122.930168747406,49.2036559211609
441233,,-122.899929901471,49.2113904666552
441234,,-122.899921919931,49.2114443055305
441235,,-122.899526122311,49.2116589897715
441236,,-122.899486277076,49.2116563563674
441237,,-122.899447698669,49.2116262011724
441238,,-122.899062277667,49.2106835942207
441239,,-122.899060612638,49.2106975534535
441240,,-122.902158545164,49.2325248387986
441241,,-122.902105704157,49.2325213650417
441242,,-122.902609156836,49.2322832903997
441243,,-122.902612609068,49.2322705128523
441244,,-122.903617375066,49.2317299149329
441245,,-122.903606350893,49.2317291267454
441246,,-122.904632655144,49.2312552665289
441247,,-122.902183808697,49.2325956528435
441248,,-122.902196840993,49.2325958734671
441249,,-122.907919367091,49.2065759526811
441250,,-122.907913223247,49.2066048937417
441251,,-122.907021665693,49.2080048789456
441252,,-122.907013176437,49.2080424778313
441253,,-122.90614945372,49.2081818143882
441254,,-122.90613509192,49.2081808941936
441255,,-122.919883546546,49.2211495866493
441256,,-122.919877870913,49.2212004626664
441257,,-122.901971943605,49.2093518073261
441258,,-122.901866156918,49.2093450277018
441259,,-122.904686408427,49.2091153171252
441260,,-122.904677423198,49.2091720663971
441261,,-122.902754034303,49.2100270405058
441262,,-122.902753534554,49.2099836324161
441263,,-122.901680966578,49.2106060269077
441264,,-122.904057729797,49.2092807804479
441265,,-122.904284556488,49.2092967715575
441266,,-122.914115881881,49.2041231897471
441267,,-122.947068145146,49.2048640874503
441268,,-122.947075871193,49.2048424600018
441269,,-122.946906184181,49.2047072925651
441270,,-122.946869326499,49.2047072711193
441271,,-122.916212002567,49.2153469636564
441272,,-122.887560615943,49.2296840825136
441273,,-122.941771805466,49.2027260938242
441274,,-122.94177943738,49.2026998026113
441275,,-122.942622438947,49.2022458538612
441276,,-122.942236295594,49.2019484341726
441277,,-122.942113835994,49.2019417892042
441278,,-122.909660814436,49.2101867210343
441279,,-122.909662118963,49.2101707895987
441280,,-122.909580572402,49.2102271325513
441281,,-122.909562144918,49.2102245040939
441282,,-122.939456548341,49.2083426057058
441283,,-122.939449488744,49.2083909444976
441284,,-122.939343624167,49.2082522967061
441285,,-122.93926880999,49.2082483399452
441286,,-122.941160747141,49.2074233022467
441287,,-122.941153689336,49.2074716420506
441288,,-122.941047821954,49.2073329948983
441289,,-122.940973009026,49.2073290401406
441290,,-122.942829401651,49.2065234037422
441291,,-122.942822345602,49.2065717427568
441292,,-122.942716476844,49.2064330980114
441293,,-122.942641663768,49.2064291434341
441294,,-122.910789281301,49.2099415562539
441295,,-122.898581625014,49.2256331992662
441296,,-122.898614906036,49.2256322416999
441297,,-122.893051368919,49.2255656531316
441298,,-122.893000132574,49.225565032686
441299,,-122.901402096289,49.2241714186135
441300,,-122.899973018878,49.2260513843621
441301,,-122.899947328612,49.226080172147
441302,,-122.899839373138,49.2260790441383
441303,,-122.900931702499,49.2224189473905
441304,,-122.925125527564,49.192568394411
441305,,-122.927047780731,49.1944584067347
441306,,-122.925935632978,49.1919167401063
441307,,-122.926003709893,49.1919833850685
441308,,-122.926288760992,49.1922789600491
