OBJECTID,Location,POINT_X,POINT_Y,INTID,X,Y
61,"TENTH AVE, SECOND ST",505724.9251,5452172.8593,INT222,-122.921378667945,49.2223142978918
62,"CORNWALL ST, ELEVENTH ST",505495.5593,5450210.6055,INT398,-122.924555449601,49.2046653875594
63,"MCINNIS OVERPASS, QUAYSIDE DR, K DE K CRT",506134.4912,5449570.8064,INT657,-122.915793798123,49.1989041463162
64,"MEMORIAL DR, ROSS DR",507172.4024,5451454.6862,INT15,-122.90151309062,49.2158389041453
65,"EWEN AVE, HIGHWAY 91A, HOWES ST",503886.6978,5448165.1976,INT835,-122.946662117546,49.1862786315136
66,"CLARKSON ST, BEGBIE ST",506489.3833,5449944.9733,INT860,-122.910916268501,49.202266232348
67,"COLUMBIA ST, PATTULLO ON-RAMP",507301.5911,5450593.6927,INT603,-122.899754816861,49.2080925083869
68,"EWEN AVE, CAMPBELL ST",504331.849,5448448.6642,INT110,-122.940550172565,49.1888255208938
69,"ROYAL AVE, FIRST ST",507086.5798,5450807.3778,INT483,-122.90270297892,49.2100171890474
70,"SPARKS CT, GIFFORD ST, PRETTY CT",503765.5817,5447553.2101,INT51,-122.948329947674,49.1807743604493
71,FOURTH ST,506631.3393,5450528.6969,INT961,-122.908957914941,49.2075154726352
72,"EIGHTH ST, ST. ANDREWS ST",505734.5415,5450694.3042,INT874,-122.921267731277,49.2090142052349
73,TWENTY-FIRST ST,503734.0233,5449773.145,INT844,-122.948742355271,49.2007435651694
74,"RICKMAN PL, YORK ST",506587.7266,5452763.3432,INT571,-122.909519990816,49.2276171776649
75,"OXFORD ST, ELEVENTH ST",505530.595,5450168.0357,INT399,-122.924075056588,49.2042821447685
76,"LONDON ST, TWELFTH ST",504594.8075,5451102.5962,INT391,-122.936911001167,49.2126965124815
77,"RICHMOND ST, CUMBERLAND ST",507370.7521,5451977.3254,INT500,-122.898779881937,49.2205378257232
78,"GLOUCESTER ST, ASH ST",506200.3156,5450224.4523,INT718,-122.914880157947,49.2047832187701
79,"SECOND ST, BLACKMAN ST",505780.574,5452105.6299,INT217,-122.920615401953,49.2217090292712
80,COLUMBIA ST,505972.6318,5449721.2572,INT836,-122.918013350979,49.2002590940303
