LICENCE,TRADE_NAME,LICENCEE_NAME,CIVIC_ADDRESS,LICENCE_DESCRIPTION,YEAR_OPENED,APPROVED_DATE,SIC,SIC_GROUP,NWID,TYPE
129963,NAMARC CONSTRUCTION INC,NAMARC CONSTRUCTION INC,BUSINESS - OUT OF TOWN,CONTRACTOR RENOVATIONS,2016,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
126878,ALLVISION CANADA COMPANY,ALLVISION CANADA COMPANY,BUSINESS - OUT OF TOWN,MAINTENANCE/MANAGEMENT/OPERATION OF BILLBOARDS,2012,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
121022,2 BROTHERS PLUMBING & HEATING LTD,2 BROTHERS PLUMBING & HEATING LTD,BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT,2004,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
127837,NRG ELECTRIC LTD,"PERIZZOLO, STEVE",BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT,2013,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
127563,6505589 CANADA INC,6505589 CANADA INC,BUSINESS - OUT OF TOWN,DEMOLITION,2013,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
122758,GBS CONSTRUCTION MANAGERS INC,GBS CONSTRUCTION MANAGERS INC,BUSINESS - OUT OF TOWN,CONSTRUCTION MANAGERS,2007,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
121145,QUEEN CITY TAXI LTD,QUEEN CITY TAXI LTD,BUSINESS - OUT OF TOWN,VEHICLE,2005,20161115,485,Transportation & warehousing / Transit & ground passenger transportation,,NON-RESIDENT
113692,CAR-SAN GARDENING SERVICES LTD.,CAR-SAN GARDENING SERVICES LTD.,BUSINESS - OUT OF TOWN,1-2 EMPLOYEES ONLY,1982,20161115,561,"Admin., support, waste mgmt & remed. services / Administrative & support services",,NON-RESIDENT
116664,DOLPHIN DELIVERY LTD,DOLPHIN DELIVERY LTD,BUSINESS - OUT OF TOWN,2 CLASS (D) MACHINES/NEWSPAPERS,1993,20161115,454,Retail trade / Non-store retailers,,NON-RESIDENT
113781,PNR RAILWORKS INC,PNR RAILWORKS INC,BUSINESS - OUT OF TOWN,RAILWAY CONSTRUCTION & MAINTENANCE,1982,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
130332,"WELCH, LARRY","WELCH, LARRY",BUSINESS - OUT OF TOWN,Contractor non-resident/plumbing & heating,2016,20161115,238,Construction / Specialty trade contractors,,NON-RESIDENT
129812,TIKAL CONSTRUCTION LTD,TIKAL CONSTRUCTION LTD,BUSINESS - OUT OF TOWN,Contractor non-resident/general,2016,20161115,238,Construction / Specialty trade contractors,,NON-RESIDENT
121147,QUEEN CITY TAXI LTD,QUEEN CITY TAXI LTD,BUSINESS - OUT OF TOWN,VEHICLE,2005,20161115,485,Transportation & warehousing / Transit & ground passenger transportation,,NON-RESIDENT
121294,METRO VANCOUVER,FREE DAILY NEWS GROUP INC,BUSINESS - OUT OF TOWN,51 CLASS (D) MACHINES/NEWSPAPERS,2005,20161115,454,Retail trade / Non-store retailers,,NON-RESIDENT
128783,WILCO CIVIL INC,WILCO CIVIL INC,BUSINESS - OUT OF TOWN,landscape contractor,2014,20161115,238,Construction / Specialty trade contractors,,NON-RESIDENT
127631,LOUIS & SONS CONSTRUCTION COMPANY LTD,LOUIS & SONS CONSTRUCTION COMPANY LTD,BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT,2013,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
123231,TRANS POWER CONSTRUCTION (1999) LTD,TRANS POWER CONSTRUCTION (1999) LTD,BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT,2008,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
123125,FIRST CHOICE SECURITY & AUDIO (2000) LTD,"SAYERS, CHAD",BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT,2007,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
130298,MONTAGNA MECHANICAL & BUILDING SERVICES,"PORRA, EMANUELE",BUSINESS - OUT OF TOWN,Contractor non-resident/plumbing & heating,2016,20161115,238,Construction / Specialty trade contractors,,NON-RESIDENT
129654,RIVERSIDE HEATING AND PLUMBING SERVICES INC,RIVERSIDE HEATING AND PLUMBING SERVICES INC,BUSINESS - OUT OF TOWN,Contractor non-resident/plumbing & heating,2015,20161115,238,Construction / Specialty trade contractors,,NON-RESIDENT
129751,"DEW, ART",ART DEW CONTRACTING LTD,BUSINESS - OUT OF TOWN,,2016,20161115,238,Construction / Specialty trade contractors,,NON-RESIDENT
130325,MR JUNK REMOVAL,"LOUVRIS, GEORGELOUVRIS, DEAN",BUSINESS - OUT OF TOWN,junk removal,2016,20161115,238,Construction / Specialty trade contractors,,NON-RESIDENT
130084,SHAKESPEARE SIGNS LTD,SHAKESPEARE SIGNS LTD,BUSINESS - OUT OF TOWN,Contractor non-resident/advertising/signage,2016,20161115,238,Construction / Specialty trade contractors,,NON-RESIDENT
114440,C T CONTROL TEMP. LTD,C T CONTROL TEMP. LTD,BUSINESS - OUT OF TOWN,REFRIG./AIR CONDITIONING  2 EMPL.,1991,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
129614,VANGUARD MECHANICAL LTD,VANGUARD MECHANICAL LTD,BUSINESS - OUT OF TOWN,Contractor non-resident,2015,20161115,238,Construction / Specialty trade contractors,,NON-RESIDENT
122919,WATERWORKS MECHANICAL,"FILIPPELLI, LORENZO",BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT,2007,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
123366,ACCURATE CARPENTRY LTD,ACCURATE CARPENTRY LTD,BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT,2008,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
128981,PACIFIC RIM FIRE PROTECTION LTD,PACIFIC RIM FIRE PROTECTON LTD,BUSINESS - OUT OF TOWN,sprinkler contractor,2015,20161115,238,Construction / Specialty trade contractors,,NON-RESIDENT
122763,WATSON & BARNARD,WATSON & BARNARD PROF. LAND SURVEYING INC.,BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT,2007,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
123646,E TRON ELECTRIC LTD,E-TRON ELECTRIC LTD,BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT,2008,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
123112,TSS TOTAL SAFETY SERVICES INC,TSS TOTAL SAFETY SERVICES INC,BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT,2007,20161115,541,"Professional, scientific & technical services / Professional, scientific & technical services",,NON-RESIDENT
126098,SWR DRAIN SERVICE,SURREY WHITE ROCK DRAIN SERVICE LTD,BUSINESS - OUT OF TOWN,DRAIN CLEANING/EXCAVATION/PLUMBING,2011,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
116144,PLOUTOS ENTERPRISES LTD,PLOUTOS ENTERPRISES LTD,BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT,1999,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
128815,EFFIX INTERIOR SYSTEMS LTD,EFFIX INTERIOR SYSTEMS LTD,BUSINESS - OUT OF TOWN,wall and ceiling contractor,2014,20161115,238,Construction / Specialty trade contractors,,NON-RESIDENT
126042,PRIME SIGNS INC,PRIME SIGNS INC,BUSINESS - OUT OF TOWN,sign manufacturer,2011,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
123941,SERVICEMASTER RESTORATION,305466 BC LTD,BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT,2009,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
124912,ALLRIGHT SPRINKLERS LTD,ALLRIGHT SPRINKLERS LTD,BUSINESS - OUT OF TOWN,FIRE PROTECTION INSTALLATIONS,2010,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
130373,GREENEST GREEN GARDENING,"CLIMIE, DIANE",BUSINESS - OUT OF TOWN,Contractor non-resident/landscaping,2016,20161115,238,Construction / Specialty trade contractors,,NON-RESIDENT
130416,A PLUS PLUMBING LTD,A PLUS PLUMBING LTD,BUSINESS - OUT OF TOWN,Contractor non-resident/plumbing & heating,2016,20161115,238,Construction / Specialty trade contractors,,NON-RESIDENT
124341,JOHN PEACHEY & ASSOCIATES,INNOVATIVE SIGNAGE INC,BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT,2009,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
125634,CANADIAN PROPERTY STARS,6260942 CANADA LIMITED,BUSINESS - OUT OF TOWN,LAWN CORE AERATION/WINDOW WASHING,2011,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
128671,AUDIO VISUAL SYSTEMS INTEGRATION INC DBA SHARP'S AUDIO VISUAL,AUDIO VISUAL SYSTEMS INTEGRATION INC DBA SHARP'S AUDIO VISUAL,BUSINESS - OUT OF TOWN,contractor non-resident,2014,20161115,238,Construction / Specialty trade contractors,,NON-RESIDENT
129986,MURRAY WYSTRACH CONSTRUCTION INC,MURRAY WYSTRACH CONSTRUCTION INC,BUSINESS - OUT OF TOWN,Contractor non-resident/general,2016,20161115,238,Construction / Specialty trade contractors,,NON-RESIDENT
130008,A+ BUILDING MAINTENANCE,"GONZALES, HENRY C",BUSINESS - OUT OF TOWN,CONTRACTOR NON-RESIDENT - JANITORIAL,2016,20161115,238,Construction / Specialty trade contractors,,NON-RESIDENT
113727,FOUR SEASONS INSULATION LTD.,FOUR SEASONS INSULATION LTD.,BUSINESS - OUT OF TOWN,INSULATION,1982,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
120742,MOORE & RUSSELL HEATING LTD,MOORE & RUSSELL HEATING LTD,BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT,2004,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
114322,NEW CREATIONS MOBILE RESTORATIONS,NEW CREATIONS MOBILE RESTORATIONS,BUSINESS - OUT OF TOWN,MOBILE AUTOMOBILE INTERIOR REPAIR,1990,20161115,811,Other services (exc. Public administration) / Repair & maintenance,,NON-RESIDENT
121826,NEMETZ (S/A) & ASSOCIATES LTD,NEMETZ (S/A) & ASSOCIATES LTD,BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT,2006,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
128490,KYMAR GUTTERS INC,KYMAR GUTTERS INC,BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT,2014,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
113830,WESTERN FENCE & GATE LTD.,WESTERN FENCE & GATE LTD.,BUSINESS - OUT OF TOWN,1-2 EMPLOYEES ONLY,1982,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
129780,AND ONE FLOORING,"BOGDAN, ANDONE F",BUSINESS - OUT OF TOWN,,2016,20161115,238,Construction / Specialty trade contractors,,NON-RESIDENT
127381,LINDBJERG CHIMNEY & MASONRY SERVICE,"LINDBJERG, HENNING",BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT,2013,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
114068,TROY LIFE & FIRE SAFETY LTD,TROY LIFE & FIRE SAFETY LTD,BUSINESS - OUT OF TOWN,SPRINKLER SYSTEMS  3 EMPLOYEES ONLY,1988,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
129799,604 PLUMBING SERVICES LTD,604 PLUMBING SERVICES LTD,BUSINESS - OUT OF TOWN,,2016,20161115,238,Construction / Specialty trade contractors,,NON-RESIDENT
129644,WQC MECHANICAL LTD.,"WITTER, MYLES",BUSINESS - OUT OF TOWN,Plumbing & Mechanical Contractor,2016,20161115,238,Construction / Specialty trade contractors,,NON-RESIDENT
129295,WESTMOUNT HEATING LTD,WESTMOUNT HEATING LTD,BUSINESS - OUT OF TOWN,Contractor/plumbing and heating,2015,20161115,238,Construction / Specialty trade contractors,,NON-RESIDENT
124230,TERASPAN NETWORKS INC,TERASPAN NETWORKS INC,BUSINESS - OUT OF TOWN,FIBER OPTIC DEVELOPMENT,2009,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
113985,GISBORNE INDUSTRIAL CONST LTD,GISBORNE INDUSTRIAL CONST LTD,BUSINESS - OUT OF TOWN,SPRINKLER FITTER  4 EMPLOYEES,1987,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
129820,NOROESTE TIRE,NOROESTE TIRE LTD,BUSINESS - OUT OF TOWN,Wholesales/exporting tires,2016,20161115,415,Wholesale trade / Motor vehicle & parts whl.,,NON-RESIDENT
115235,TQ CONSTRUCTION LTD,TQ CONSTRUCTION LTD,BUSINESS - OUT OF TOWN,4 EMP,1994,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
129597,GLENCO ELECTRIC LTD,GLENCO ELECTRIC LTD,BUSINESS - OUT OF TOWN,Contractor non-resident/electrical,2015,20161115,238,Construction / Specialty trade contractors,,NON-RESIDENT
129415,MINI-LOAD DISPOSAL,MINI-LOAD DISPOSAL LTD,BUSINESS - OUT OF TOWN,Contractor non-resident/waste disposal bins,2015,20161115,238,Construction / Specialty trade contractors,,NON-RESIDENT
125871,NISHI GARDENSCAPE INC,NISHI GARDENSCAPE INC,BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT,2011,20161115,561,"Admin., support, waste mgmt & remed. services / Administrative & support services",,NON-RESIDENT
128560,GAMUT CONSTRUCTION LTD,GAMUT CONSTRUCTION LTD,BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT,2014,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
129917,KURTIS MILLER LTD,KURTIS MILLER LTD,BUSINESS - OUT OF TOWN,Contractor non-resident/electrical,2016,20161115,238,Construction / Specialty trade contractors,,NON-RESIDENT
126831,VANCITY PLUMBING & HEATING INC,VANCITY PLUMBING & HEATING INC,BUSINESS - OUT OF TOWN,CONTRACTOR - NON RESIDENT,2012,20161115,,See BL desk for Business NAICS,,NON-RESIDENT
