OBJECTID,TEE_ID,X,Y
1101865,,-122.906670430328,49.2024245458902
1101866,,-122.906545679617,49.202491901684
1101867,,-122.905981373953,49.2035024354223
1101868,,-122.905490214853,49.2031697958806
1101869,,-122.949896102486,49.1990678478054
1101870,,-122.949941903999,49.1991036608837
1101871,,-122.950410569138,49.199471558732
1101872,,-122.928846885056,49.2043680745504
1101873,,-122.930113863764,49.2036854896946
1101874,,-122.92750158376,49.2086735182512
1101875,,-122.926942801314,49.2073125167482
1101876,,-122.926972737975,49.2073363759038
1101877,,-122.918508019414,49.2053751585689
1101878,,-122.919330514541,49.2060121063253
1101879,,-122.919467740118,49.2061535937283
1101880,,-122.919492118905,49.2061404452093
1101881,,-122.903333834578,49.2077569807531
1101882,,-122.904682346409,49.2070317197928
1101883,,-122.904303307811,49.2314313956377
1101884,,-122.903669026291,49.2317719982412
1101885,,-122.903269382131,49.2319865996212
1101886,,-122.902652843726,49.2323176621087
1101887,,-122.90220176087,49.232559875027
1101888,,-122.902141922428,49.2325920057748
1101889,,-122.902164467903,49.2325799001677
1101890,,-122.904737088654,49.2293757504371
1101891,,-122.904435702393,49.2303174732699
1101892,,-122.904524672606,49.2307440938419
1101893,,-122.90847662649,49.207053325184
1101894,,-122.907301296753,49.2076860685526
1101895,,-122.906894304527,49.2079044320672
1101896,,-122.906241922251,49.2082555285426
1101897,,-122.923526519289,49.2191906707632
1101898,,-122.923466033196,49.219223210688
1101899,,-122.921917410963,49.2200563104928
1101900,,-122.920741944992,49.2206886350147
1101901,,-122.91982994022,49.2212269528684
1101902,0,-122.90186292098,49.2093414978991
1101903,,-122.904660992588,49.2090944909418
1101904,,-122.902757090838,49.2099792897857
1101905,,-122.902688533763,49.2100619995065
1101906,,-122.932789198699,49.2143219066463
1101907,,-122.93277660171,49.21431193974
1101908,,-122.94920557325,49.2035883041773
1101909,,-122.946995122577,49.2047782262435
1101910,,-122.944905217273,49.2059025570537
1101911,,-122.926225916233,49.2196009097942
1101912,,-122.922511291326,49.2168482997966
1101913,,-122.922666203257,49.2167648815548
1101914,,-122.922897138875,49.2166369647579
1101915,,-122.916154528035,49.2152997021255
1101916,,-122.887631594314,49.2278918773605
1101917,,-122.887640161949,49.2296847257129
1101918,,-122.887520008206,49.2315890982666
1101919,,-122.887588096625,49.231588936063
1101920,,-122.941254372467,49.203004404545
1101921,,-122.941279410524,49.2030242042365
1101922,,-122.940803973611,49.2026422918921
1101923,,-122.910743403747,49.2108069827166
1101924,,-122.910807708833,49.210858471943
1101925,,-122.910617692346,49.2108167317496
1101926,,-122.910503027922,49.2108775077798
1101927,,-122.909992441991,49.2103187600072
1101928,,-122.910032855895,49.2103489634894
1101929,,-122.909865181301,49.2103868162748
1101930,,-122.909748841823,49.2101240567018
