Y,X,Sign_Code,Sign_ID,Traffic_Direction,Meter_Type,Shared_With,Sign_Definition
49.214391,-122.922323,PM-03,06T01,WB,Double,06T03,2 HOUR METER
49.214293,-122.922182,PM-03,06T02,EB,Single,,2 HOUR METER
49.214391,-122.922323,PM-03,06T03,WB,Double,06T01,2 HOUR METER
49.21426,-122.922245,PM-03,06T04,EB,Double,06T06,2 HOUR METER
49.21432,-122.922457,PM-03,06T05,WB,Double,06T07,2 HOUR METER
49.21426,-122.922245,PM-03,06T06,EB,Double,06T04,2 HOUR METER
49.21432,-122.922457,PM-03,06T07,WB,Double,06T05,2 HOUR METER
49.214149,-122.922451,PM-03,06T08,EB,Double,06T10,2 HOUR METER
49.214149,-122.922451,PM-03,06T10,EB,Double,06T08,2 HOUR METER
49.212782,-122.920861,PM-05,06U02,EB,Single,,2 HOUR HANDICAPPED METER
49.212667,-122.921075,PM-05,06U04,EB,Double,06U06,2 HOUR HANDICAPPED METER
49.212667,-122.921075,PM-03,06U06,EB,Double,06U04,2 HOUR METER
49.212605,-122.921191,PM-03,06U08,EB,Double,06U10,2 HOUR METER
49.212605,-122.921191,PM-03,06U10,EB,Double,06U08,2 HOUR METER
49.212543,-122.921307,PM-03,06U12,EB,Double,06U14,2 HOUR METER
49.212543,-122.921307,PM-03,06U14,EB,Double,06U12,2 HOUR METER
49.212479,-122.921425,PM-03,06U16,EB,Double,06U18,2 HOUR METER
49.212479,-122.921425,PM-03,06U18,EB,Double,06U16,2 HOUR METER
49.212413,-122.921547,PM-03,06U20,EB,Double,06U22,2 HOUR METER
49.212413,-122.921547,PM-03,06U22,EB,Double,06U20,2 HOUR METER
49.21238,-122.919733,PM-03,06V01,WB,Double,06V03,2 HOUR METER
49.212127,-122.919894,PM-03,06V02,EB,Double,06V04,2 HOUR METER
49.21238,-122.919733,PM-03,06V03,WB,Double,06V01,2 HOUR METER
49.212127,-122.919894,PM-03,06V04,EB,Double,06V02,2 HOUR METER
49.212304,-122.919874,PM-03,06V05,WB,Double,06V07,2 HOUR METER
49.212061,-122.920018,PM-03,06V06,EB,Double,06V08,2 HOUR METER
49.212304,-122.919874,PM-03,06V07,WB,Double,06V05,2 HOUR METER
49.212061,-122.920018,PM-03,06V08,EB,Double,06V06,2 HOUR METER
49.212232,-122.920007,PM-03,06V09,WB,Single,,2 HOUR METER
49.211917,-122.920288,PM-03,06V10,EB,Single,,2 HOUR METER
49.212056,-122.920331,PM-01,06V11,WB,Single,,15 MINUTE METER
49.211843,-122.920428,PM-03,06V12,EB,Double,06V14,2 HOUR METER
49.212056,-122.920331,PM-05,06V13,WB,Single,,2 HOUR HANDICAPPED METER
49.211843,-122.920428,PM-03,06V14,EB,Double,06V12,2 HOUR METER
49.211975,-122.920484,PM-03,06V15,WB,Double,06V17,2 HOUR METER
49.211723,-122.920651,PM-03,06V16,EB,Double,06V18,2 HOUR METER
49.211975,-122.920484,PM-03,06V17,WB,Double,06V15,2 HOUR METER
49.211723,-122.920651,PM-03,06V18,EB,Double,06V16,2 HOUR METER
49.2119,-122.920623,PM-03,06V19,WB,Double,06V21,2 HOUR METER
49.2119,-122.920623,PM-03,06V21,WB,Double,06V19,2 HOUR METER
49.211827,-122.920761,PM-03,06V23,WB,Double,06V25,2 HOUR METER
49.211827,-122.920761,PM-03,06V25,WB,Double,06V23,2 HOUR METER
49.211638,-122.918911,PM-03,06W01,WB,Double,06W03,2 HOUR METER
49.211638,-122.918911,PM-03,06W03,WB,Double,06W01,2 HOUR METER
49.211428,-122.9193,PM-03,06W05,WB,Double,06W07,2 HOUR METER
49.211428,-122.9193,PM-03,06W07,WB,Double,06W05,2 HOUR METER
49.211268,-122.919602,PM-03,06W09,WB,Double,06W11,2 HOUR METER
49.211268,-122.919602,PM-03,06W11,WB,Double,06W09,2 HOUR METER
49.211197,-122.919734,PM-03,06W13,WB,Double,06W15,2 HOUR METER
49.211197,-122.919734,PM-03,06W15,WB,Double,06W13,2 HOUR METER
49.209478,-122.932734,PM-03,0701A,NB,Double,0703A,2 HOUR METER
49.209053,-122.932466,PM-03,0702A,SB,Single,,2 HOUR METER
49.209478,-122.932734,PM-03,0703A,NB,Double,0701A,2 HOUR METER
49.209205,-122.932656,PM-03,0704A,SB,Double,0706A,2 HOUR METER
49.209573,-122.932852,PM-03,0705A,NB,Double,0707A,2 HOUR METER
49.209205,-122.932656,PM-03,0706A,SB,Double,0704A,2 HOUR METER
49.209573,-122.932852,PM-03,0707A,NB,Double,0705A,2 HOUR METER
49.209419,-122.932921,PM-03,0708A,SB,Double,0710A,2 HOUR METER
49.209661,-122.932961,PM-03,0709A,NB,Single,,2 HOUR METER
49.209419,-122.932921,PM-03,0710A,SB,Double,0708A,2 HOUR METER
49.209983,-122.933368,PM-03,0711A,NB,Double,0713A,2 HOUR METER
49.209785,-122.933384,PM-03,0712A,SB,Single,,2 HOUR METER
49.209983,-122.933368,PM-03,0713A,NB,Double,0711A,2 HOUR METER
